iter	Passed	Remaining
0	0	728
1	1	767
2	2	724
3	3	865
4	4	802
5	4	754
6	5	815
7	6	785
8	6	768
9	8	805
10	8	792
11	10	832
12	10	817
13	12	851
14	12	843
15	13	831
16	14	832
17	15	823
18	15	816
19	16	816
20	17	828
21	18	842
22	20	867
23	23	971
24	24	971
25	26	976
26	26	968
27	27	964
28	28	956
29	29	944
30	30	943
31	30	935
32	32	946
33	33	942
34	33	936
35	35	943
36	35	933
37	36	926
38	37	918
39	37	910
40	38	901
41	39	892
42	39	886
43	40	882
44	41	873
45	41	866
46	42	859
47	44	877
48	44	869
49	45	861
50	46	856
51	46	850
52	47	843
53	47	840
54	48	835
55	49	830
56	49	823
57	50	819
58	51	813
59	51	809
60	52	804
61	52	799
62	53	794
63	54	790
64	54	785
65	55	782
66	55	778
67	56	774
68	56	768
69	57	765
70	58	760
71	58	756
72	59	752
73	60	756
74	61	754
75	61	751
76	62	748
77	62	744
78	63	741
79	64	739
80	65	738
81	65	736
82	66	734
83	67	730
84	67	726
85	68	723
86	68	721
87	69	718
88	69	716
89	70	712
90	71	709
91	71	707
92	72	707
93	74	716
94	75	721
95	78	735
96	80	746
97	81	747
98	82	750
99	84	756
100	85	759
101	86	765
102	88	774
103	89	773
104	90	773
105	92	778
106	93	779
107	94	777
108	94	775
109	95	772
110	96	770
111	97	769
112	98	769
113	99	772
114	100	776
115	101	775
116	102	773
117	103	773
118	104	771
119	104	769
120	105	766
121	106	762
122	106	759
123	107	756
124	107	754
125	108	751
126	108	749
127	109	747
128	109	742
129	110	739
130	111	742
131	112	740
132	113	738
133	113	735
134	114	733
135	115	731
136	115	728
137	116	725
138	116	723
139	117	721
140	118	719
141	118	716
142	119	714
143	119	712
144	120	710
145	121	708
146	121	706
147	122	704
148	122	702
149	123	700
150	124	697
151	124	695
152	125	694
153	126	695
154	127	694
155	128	693
156	128	691
157	129	689
158	129	686
159	130	684
160	131	683
161	131	680
162	132	677
163	132	676
164	133	674
165	134	673
166	134	671
167	135	670
168	135	668
169	136	666
170	137	664
171	137	662
172	138	660
173	139	662
174	140	660
175	141	661
176	141	659
177	142	657
178	142	655
179	143	654
180	144	652
181	144	650
182	145	649
183	146	647
184	146	646
185	147	644
186	147	643
187	148	641
188	149	639
189	149	638
190	150	637
191	151	635
192	151	634
193	152	632
194	152	631
195	153	629
196	154	628
197	154	626
198	155	624
199	155	623
200	156	621
201	156	619
202	157	618
203	158	616
204	158	615
205	159	613
206	159	612
207	160	611
208	160	609
209	161	607
210	162	606
211	162	605
212	163	603
213	163	601
214	164	600
215	165	599
216	165	597
217	166	596
218	166	595
219	167	593
220	168	592
221	168	591
222	169	590
223	169	588
224	170	587
225	171	586
226	171	584
