iter	Passed	Remaining
0	3	706
1	5	503
2	6	418
3	7	378
4	9	380
5	11	369
6	12	352
7	13	335
8	15	329
9	16	319
10	18	313
11	19	306
12	21	307
13	22	304
14	24	301
15	25	297
16	27	294
17	28	291
18	30	286
19	31	283
20	33	283
21	34	281
22	36	282
23	38	285
24	40	284
25	42	283
26	43	279
27	45	276
28	46	273
29	47	270
30	48	266
31	50	264
32	51	262
33	53	261
34	55	260
35	56	258
36	58	256
37	59	255
38	61	254
39	63	252
40	64	250
41	65	247
42	67	245
43	68	244
44	70	242
45	72	242
46	73	240
47	75	238
48	77	237
49	78	235
50	80	233
51	81	233
52	83	231
53	84	229
54	86	226
55	87	224
56	88	222
57	89	220
58	91	217
59	92	215
60	93	212
61	93	208
62	95	206
63	96	204
64	96	201
65	98	199
66	99	196
67	100	194
68	101	192
69	102	190
70	103	188
71	104	186
72	106	184
73	107	182
74	108	180
75	109	179
76	111	177
77	112	175
78	113	173
79	114	171
80	115	169
81	117	168
82	118	166
83	119	165
84	120	163
85	122	161
86	123	159
87	124	157
88	125	156
89	126	154
90	127	153
91	129	151
92	130	150
93	131	148
94	132	146
95	134	145
96	135	143
97	136	142
98	137	140
99	138	138
100	139	137
101	141	135
102	142	133
103	143	132
104	144	130
105	145	129
106	146	127
107	147	126
108	149	124
109	150	123
110	151	121
111	152	119
112	153	118
113	155	117
114	156	115
115	157	114
116	158	112
117	159	111
118	160	109
119	162	108
120	163	106
121	164	105
122	166	104
123	167	102
124	168	101
125	169	99
126	171	98
127	172	96
128	173	95
129	174	94
130	175	92
131	177	91
132	178	89
133	179	88
134	180	86
135	181	85
136	183	84
137	184	82
138	185	81
139	186	79
140	187	78
141	188	77
142	190	75
143	191	74
144	192	73
145	193	71
146	195	70
147	196	68
148	197	67
149	199	66
150	201	65
151	202	63
152	203	62
153	204	61
154	206	59
155	207	58
156	208	57
157	209	55
158	210	54
159	212	53
160	213	51
161	214	50
162	216	49
163	217	47
164	218	46
165	219	45
166	221	43
167	222	42
168	223	40
169	224	39
170	226	38
171	227	37
172	228	35
173	229	34
174	231	33
175	232	31
176	234	30
177	236	29
178	237	27
179	239	26
180	240	25
181	241	23
182	243	22
183	244	21
184	245	19
185	247	18
186	248	17
187	250	15
188	251	14
189	252	13
190	254	11
191	255	10
192	256	9
193	257	7
194	258	6
195	260	5
196	260	3
197	262	2
198	263	1
199	264	0
